utr_number,reference_note,settled_amount,settlement_date,bank_name
UTR9821001,SET-RZP-001,1464.60,2024-02-12T00:00:00Z,HDFC Bank
UTR9821002,SET-RZP-002,4393.80,2024-02-12T00:00:00Z,HDFC Bank
UTR9821003,SET-RZP-003,869.02,2024-02-12T00:00:00Z,HDFC Bank
UTR9821004,SET-RZP-004,12205.00,2024-02-12T00:00:00Z,HDFC Bank
UTR9821005,SET-RZP-005,3124.48,2024-02-12T00:00:00Z,HDFC Bank
UTR9821006,SET-RZP-006,6541.88,2024-02-12T00:00:00Z,HDFC Bank
UTR9821007,SET-RZP-007,2050.44,2024-02-12T00:00:00Z,HDFC Bank
UTR9821008,SET-RZP-008,9178.16,2024-02-12T00:00:00Z,HDFC Bank
UTR9821009,SET-RZP-009,1757.52,2024-02-12T00:00:00Z,HDFC Bank
UTR9821010,SET-RZP-010,5174.92,2024-02-12T00:00:00Z,HDFC Bank
